company_name,company_domain,ceo_name,founder_name,contact_email,linkedin_contact,number_of_employees,share_price_current,share_price_5y_ago
Williams-Burton,Artificial Intelligence,Jack Pace,Andrea Morrison,joy01@thomas.com,https://www.linkedin.com/in/oromero,3988,318.06,311.41
"Chung, Clark and Cline",Finance,Melanie Gibson,Philip Chung,mrandall@hernandez-baker.com,https://www.linkedin.com/in/anthony82,5145,452.06,350.9
Mckee-Mccarthy,Retail,Mary Durham,Kevin Perez,cannonbrian@sosa.com,https://www.linkedin.com/in/johnsonnorman,4795,21.15,24.08
Garcia Inc,Manufacturing,Erin Raymond,Joy Fields,michele11@williams.com,https://www.linkedin.com/in/mleon,765,289.32,324.23
Chandler-Miller,Finance,Mary White,Kelly Krause,riverajill@garcia.info,https://www.linkedin.com/in/john39,4561,370.87,520.33
"Baker, Collins and Alexander",Information Technology,Walter Stout,Haley Payne,vvelasquez@murray-sheppard.info,https://www.linkedin.com/in/rhenry,9603,93.3,114.61
"Hendricks, Soto and Rivera",Administration,Brandon Ramirez,Mr. Thomas Washington IV,chelseywhite@wilson-macdonald.net,https://www.linkedin.com/in/amber53,802,497.3,482.89
Ruiz-Brown,Education,Timothy Smith,Joseph Robertson,sierra09@craig.com,https://www.linkedin.com/in/markfoster,7623,134.59,192.81
"Ross, Anderson and Hayes",Artificial Intelligence,Michael Gallegos,Michael Welch,tmurphy@hudson.net,https://www.linkedin.com/in/smithelizabeth,6829,239.84,338.81
Gamble Group,Automotive,Larry Ward,Angela White,underwoodsteven@jones.info,https://www.linkedin.com/in/reginamorris,2123,323.53,180.49
Grant LLC,Administration,Kyle Bond,Denise Black,danielturner@wright-jimenez.biz,https://www.linkedin.com/in/ithompson,1786,308.91,174.48
"Greene, Hill and Lewis",Human Resources,Jaime Wong,Angel Smith,jessicarich@reed-jones.com,https://www.linkedin.com/in/ygarcia,4239,192.58,105.14
Roberson PLC,Manufacturing,Breanna Daniels,Heidi Lee,wperez@murphy-irwin.com,https://www.linkedin.com/in/adammitchell,5304,191.6,279.85
"Brooks, Leonard and Fuller",Manufacturing,Mitchell Owens,Levi Lambert,patriciaperkins@hoover.org,https://www.linkedin.com/in/raymond97,382,351.43,400.47
Sandoval-Reed,Information Technology,Catherine Farmer,Michael Reid,lsmith@clark.com,https://www.linkedin.com/in/travisbrown,5026,66.65,38.88
White PLC,Administration,David Alvarez,Jeremy Carter,jennifer50@brown.com,https://www.linkedin.com/in/laura00,943,445.71,424.87
Simmons-King,Automotive,Andrew French,David Ochoa,tmurillo@choi-dixon.org,https://www.linkedin.com/in/emily31,747,160.32,130.82
Munoz-Curtis,Retail,Heather Warren,Sarah House,tiffany03@howell.net,https://www.linkedin.com/in/ashley36,5977,469.81,242.47
"Williams, Santos and Kim",Finance,Jason Eaton,Kimberly Summers,iochoa@roberts-orozco.net,https://www.linkedin.com/in/sjones,4401,73.87,67.94
Reyes-Padilla,Retail,Kenneth Johnson,James Green,frederickparker@scott.info,https://www.linkedin.com/in/jonesamy,9606,127.06,75.01
"Boone, Williams and Mccarthy",Finance,Mr. James Dawson,Dr. Mark Hobbs MD,humphreyrobyn@rose-green.net,https://www.linkedin.com/in/jeffrey62,5551,456.29,436.07
Contreras-Wang,Automotive,Michael Cervantes,David Graves,nashbenjamin@green-walker.org,https://www.linkedin.com/in/markaguilar,544,454.07,412.76
"Howell, Woods and Gross",Education,Kimberly Johnson,Timothy Moreno,nicholsonsamantha@james.org,https://www.linkedin.com/in/millerdanielle,8880,146.35,212.06
Martinez-Brewer,Administration,Dylan Gross,Tracy Peters,bmoody@smith-williams.com,https://www.linkedin.com/in/shirley07,4914,80.25,81.31
Robertson Inc,Finance,Nicholas Jarvis,Joyce Park,rachelryan@howard.com,https://www.linkedin.com/in/tbeard,427,209.96,286.66
Myers-Williams,Retail,Dawn Brown,Ruben Williamson,jorgesosa@wright.com,https://www.linkedin.com/in/michelle41,4284,248.3,126.06
"Taylor, Barnes and Bryant",Automotive,Vincent Roberson,Kimberly Munoz,michellehobbs@martinez.com,https://www.linkedin.com/in/andrea57,4846,310.33,376.14
Jones and Sons,Information Technology,Ashley Thomas,Maria Fernandez,carlsonedward@meza-bailey.biz,https://www.linkedin.com/in/lhorton,3647,345.56,240.77
Garrison PLC,Information Technology,Dr. Jacob Nichols,Carolyn Perez,wpoole@boyle.com,https://www.linkedin.com/in/vmiller,8679,463.37,529.26
"Martin, Martin and Steele",Administration,Carlos Johnson,Terry Rosales,susan83@mathews.com,https://www.linkedin.com/in/gwebb,9829,410.03,430.5
"Mccullough, Sanders and Dorsey",Automotive,Stephanie Shields,Jerry Sanchez,nicholashall@fritz.info,https://www.linkedin.com/in/davisterri,9512,387.08,423.18
Ryan-Welch,Retail,Jamie Bryan,Barbara Brown,scott43@miller.com,https://www.linkedin.com/in/kramerrobert,8340,383.22,286.88
"Shepard, Schwartz and Smith",Education,Bobby Berry,Heidi Roberson,andre29@sanders.org,https://www.linkedin.com/in/fergusonmatthew,4819,348.59,483.63
"Nelson, Nelson and Cannon",Education,Bryan Baker,Gary Espinoza,kimberlyedwards@nguyen-baker.info,https://www.linkedin.com/in/burnswendy,1241,486.23,648.12
Martin Group,Healthcare,Heather Holmes,Hannah Glover,djordan@thomas-moore.com,https://www.linkedin.com/in/jarvisdaisy,3769,7.53,7.69
Mathews Inc,Finance,Brian Davis,Dawn Lang,mcrosby@hunter-mcdonald.com,https://www.linkedin.com/in/ejones,2299,277.47,165.19
Adams Group,Administration,Kyle Tate,Kristine Freeman,abush@mcintyre.net,https://www.linkedin.com/in/jonathon73,9020,212.58,316.07
"Abbott, Beck and Diaz",Finance,Vanessa Norman,John Meyers,robertbrooks@mathews.info,https://www.linkedin.com/in/johnbishop,3465,136.45,101.48
Patel Inc,Automotive,Tammy Jackson,Elizabeth West,larsonjeremy@barnes.net,https://www.linkedin.com/in/smithrichard,619,326.52,235.68
Kelly-Wilson,Education,Kimberly Baker,Kathryn Wells,david30@collins.biz,https://www.linkedin.com/in/lori78,8281,383.42,209.07
Hicks Inc,Manufacturing,Steven Sawyer,Jessica Stafford,alyssaguerrero@houston.com,https://www.linkedin.com/in/fkey,1056,347.35,426.85
Dixon-Turner,Information Technology,Thomas Wheeler,Kenneth Welch,ortegamadison@maddox-moore.com,https://www.linkedin.com/in/snydertara,4768,47.25,52.16
"Valencia, Carlson and Cohen",Human Resources,Savannah Bradford,Marc Duran,alyssataylor@campbell.com,https://www.linkedin.com/in/daltonjennifer,6723,61.11,59.11
Evans Ltd,Finance,Christy Price,Frank Barrett,scarter@brock.com,https://www.linkedin.com/in/kkelly,7260,463.1,452.89
Curry LLC,Finance,Joshua Dixon,Andrea Diaz,uflores@smith-smith.net,https://www.linkedin.com/in/jamesmichelle,8805,15.23,18.14
Harris and Sons,Education,Jonathan Williams,Kathryn Ferguson,chelseacarr@bell-white.com,https://www.linkedin.com/in/guylarson,7596,476.71,694.05
"Johnson, Munoz and Cole",Information Technology,Joseph Owen,Michael Hansen,larsonjessica@white-chapman.biz,https://www.linkedin.com/in/jeffrey72,2564,85.78,55.71
Benson-Carr,Finance,Megan Barron,Heather Howell,kayla26@tyler-alvarez.com,https://www.linkedin.com/in/klinerobert,9141,229.18,194.16
Harper-Klein,Information Technology,Tina Evans,Mary Johnson,russellandrade@thomas.com,https://www.linkedin.com/in/mward,3786,430.96,277.76
Combs Group,Education,Judy Carter,Dawn Miller,kendra21@dixon.com,https://www.linkedin.com/in/dford,5445,352.7,246.83
Matthews Inc,Healthcare,Theresa Armstrong,Joshua Mcdonald,bailey37@reyes.org,https://www.linkedin.com/in/jessicahansen,5133,90.45,101.84
"Johnson, Vasquez and Copeland",Information Technology,Alexis Villarreal,Vanessa Campbell,kimberlyrogers@williams-williams.net,https://www.linkedin.com/in/awilliams,4970,37.97,34.17
"Buchanan, Alvarez and Saunders",Artificial Intelligence,Nathan Robinson,Kelly Garcia,emcintyre@moore-phillips.com,https://www.linkedin.com/in/pennywalker,7948,15.48,19.26
Terry and Sons,Artificial Intelligence,Bill Fernandez,Amber Casey,heatherwade@browning.com,https://www.linkedin.com/in/forddean,5238,251.89,263.91
Mcdonald-Hurst,Finance,Kelly Ford,James Brooks,aprilfrank@klein.biz,https://www.linkedin.com/in/scottsmith,487,496.92,657.12
Nelson LLC,Information Technology,Anthony Rich,Katrina Barron,igriffith@williams.com,https://www.linkedin.com/in/patrickhill,4972,168.39,231.54
Fritz LLC,Automotive,Robert Aguilar,Mr. Michael Decker,michaelknox@burch-harrison.com,https://www.linkedin.com/in/rogersjacob,8105,66.89,70.19
Levy-Jenkins,Manufacturing,Bruce Thompson,Tara Butler,matthewcastillo@mercado-chapman.com,https://www.linkedin.com/in/lallen,8921,166.71,108.55
Lester-Lambert,Healthcare,William Robinson,Nathan Hampton,david17@gentry.com,https://www.linkedin.com/in/victoria51,8192,98.03,113.99
Johnson PLC,Automotive,Susan Lowe,Rachel Hart,osbornerebecca@perry.info,https://www.linkedin.com/in/panderson,5783,483.46,316.06
"Bradford, Mills and Pittman",Education,Terri Harvey,James Hopkins,matthewmueller@cobb.com,https://www.linkedin.com/in/drussell,8446,185.93,99.62
Jones and Sons,Finance,Nicole Morales,Diane Taylor,bmorris@hernandez-banks.com,https://www.linkedin.com/in/tammynguyen,4527,54.96,80.38
Clark LLC,Healthcare,Justin Burton,Kristi Ochoa,maciasbridget@shepherd.com,https://www.linkedin.com/in/jonathonfitzpatrick,5193,347.76,400.53
Yang LLC,Artificial Intelligence,Mr. George Jenkins,Samantha Phillips,andersonnicole@roberts-monroe.info,https://www.linkedin.com/in/michaelmunoz,6777,438.53,287.12
Clark Inc,Healthcare,Julie Atkins,Chelsea Miller,lindsey14@gill.com,https://www.linkedin.com/in/alexander17,1191,306.19,301.92
"Gamble, Harris and Sanchez",Artificial Intelligence,Dawn Hull,Tina Williams,xrogers@schmidt.net,https://www.linkedin.com/in/megan34,2402,37.19,42.06
Clarke-Campbell,Human Resources,John Cohen,Courtney Pruitt,sheila49@nguyen-king.com,https://www.linkedin.com/in/lorisims,9337,334.41,255.51
"Smith, Graham and King",Artificial Intelligence,Molly Wilson,William Thornton,wendy20@parker.com,https://www.linkedin.com/in/ahodge,3862,202.05,185.84
Dennis and Sons,Administration,Justin Gordon,Gregory Petty,sheilabond@wallace.com,https://www.linkedin.com/in/jacqueline27,6001,119.3,140.88
Tran Ltd,Finance,Ray Valdez,James Washington,jasonperez@bradley.com,https://www.linkedin.com/in/joan35,6940,384.71,559.47
"Briggs, Herman and Hernandez",Healthcare,Gary Little,Gary Smith,yjordan@gonzalez-marshall.info,https://www.linkedin.com/in/john02,1125,79.56,62.38
Knight-Diaz,Retail,Stephen Dodson,Julia Middleton,pcooley@castaneda.biz,https://www.linkedin.com/in/xjenkins,9960,78.96,84.19
Walker Ltd,Finance,Michael Williams,William Washington,jennifergill@blankenship-reeves.com,https://www.linkedin.com/in/dawnhernandez,4190,473.49,679.39
Smith-Young,Administration,Deborah Barton,Nicholas Sanchez,rachael13@barrera.com,https://www.linkedin.com/in/schultzlarry,5704,360.06,434.29
"Meyer, Carlson and Smith",Education,Alexis Sandoval,Erin Smith,patriciaburns@ramirez.com,https://www.linkedin.com/in/emilymoody,1341,328.73,203.61
Rollins-Thompson,Manufacturing,Jason Thomas,Erica Garza,nicolefitzgerald@fry-fry.org,https://www.linkedin.com/in/brandon52,5708,458.91,260.73
Fields-Harper,Manufacturing,Michelle Myers,Kyle Brown Jr.,amanda01@dunn-harmon.com,https://www.linkedin.com/in/john54,3496,69.12,53.01
Rodriguez-Mason,Automotive,Gary Kelley,Janice Williams,thomas23@cordova-mays.org,https://www.linkedin.com/in/peter69,1528,380.13,482.08
Alvarado Ltd,Artificial Intelligence,Janet Jordan,Christine Bush,jeff23@lowery-burch.biz,https://www.linkedin.com/in/conradchristian,8288,236.83,257.04
"Freeman, Cohen and Rivera",Manufacturing,Christine Walters,Tammy Herrera,ypatterson@lee-boyle.net,https://www.linkedin.com/in/jonathan88,4160,199.12,158.73
"Patel, Carpenter and Durham",Education,Tina Guerrero,Jason Mata,tristantran@cummings.com,https://www.linkedin.com/in/morgan98,6663,16.1,10.88
Salinas Inc,Information Technology,Anna Beard,Kathryn Galloway,danamiller@turner.net,https://www.linkedin.com/in/fhouse,3241,207.29,137.97
"Delgado, Mendoza and Kelly",Finance,Daniel Scott,Christy Cain DVM,obrown@owens-shields.com,https://www.linkedin.com/in/jeancook,4209,174.79,260.97
Rice-Hampton,Education,April Evans,Kevin Little,carlosroberts@rogers-parker.com,https://www.linkedin.com/in/nramirez,4159,180.72,227.46
"Ray, Hancock and Parker",Retail,Matthew Thompson,Dawn Martin,sandersrichard@beard.net,https://www.linkedin.com/in/christina63,2862,465.73,260.67
Taylor-Grant,Administration,Christopher Clark,Dana Hale,hannah08@kennedy.org,https://www.linkedin.com/in/steven45,7102,392.86,371.6
Lewis-Smith,Finance,Stephanie Kidd,Corey Hernandez,ubryant@gomez.info,https://www.linkedin.com/in/ithompson,6487,280.26,374.34
"Duncan, Adams and Kirby",Retail,Tracy Pratt,Ian Glenn,moraleskaren@rhodes-smith.com,https://www.linkedin.com/in/fosterteresa,6309,170.22,116.1
Walsh Group,Automotive,David Rodriguez,Rebecca Long,harriseric@atkins.com,https://www.linkedin.com/in/bartlettcheryl,2832,301.53,192.59
Freeman-Glover,Information Technology,William Patel,Matthew Evans,ograham@schwartz-phillips.com,https://www.linkedin.com/in/ryanwatson,2035,379.74,418.04
Randolph-Andrade,Human Resources,Kristie Becker,Brandon Hughes,ericdavis@walls.com,https://www.linkedin.com/in/robert38,263,497.71,511.47
"Sanders, Sanchez and Jones",Finance,James Allen,John Monroe,mtaylor@williams.org,https://www.linkedin.com/in/tmiles,817,68.84,61.56
"Davis, Chan and Craig",Information Technology,Ashley May,Ellen Serrano,lindsey14@russell.net,https://www.linkedin.com/in/sarah86,7086,462.52,653.0
"Durham, Nelson and Garrett",Information Technology,Chad Rodriguez,Amanda Hamilton,emmapeterson@morgan.com,https://www.linkedin.com/in/shannoncooper,2354,113.07,112.68
"Parker, Butler and Wilson",Information Technology,Jacqueline Austin,Christopher Stone,davidgreen@carson-bell.com,https://www.linkedin.com/in/uking,843,147.24,168.12
"Martinez, Ramsey and Miles",Artificial Intelligence,Jose Hernandez,Dennis Thomas,klopez@smith-crawford.biz,https://www.linkedin.com/in/julie62,3134,331.23,206.1
Nielsen Ltd,Human Resources,Ronald Butler,Lisa Diaz,kaufmanmatthew@walker.info,https://www.linkedin.com/in/eobrien,4187,213.83,181.07
Tucker Group,Finance,Rebecca Carr,Todd Diaz,hamiltonamanda@mayer.info,https://www.linkedin.com/in/andersonshannon,2033,210.94,221.47
Sharp and Sons,Healthcare,Gregory Hood,Brent Ferguson,jamesking@quinn.biz,https://www.linkedin.com/in/robert86,6508,158.24,163.63
Martin PLC,Education,Kathleen Brewer,Heather Howard,louisvance@love-conway.net,https://www.linkedin.com/in/jonathanbryant,1963,247.66,316.42
"Walker, Williams and Hernandez",Finance,Laura Leonard,Donald Friedman,pmcneil@stuart.info,https://www.linkedin.com/in/rebeccalucero,5988,300.21,314.38
"Morgan, Aguilar and Harris",Manufacturing,Douglas Robertson,Jose Reese,thomasjonathan@kim.com,https://www.linkedin.com/in/zhangjohn,3435,322.2,178.58
Adams and Sons,Education,Allison Thompson,Jennifer Davis,younglinda@lopez.biz,https://www.linkedin.com/in/awilkinson,7273,300.74,280.93
"Mccall, Stephens and Hull",Manufacturing,Amy Moody,Vernon Villarreal,emills@dennis.net,https://www.linkedin.com/in/cgentry,8144,56.54,73.55
Taylor Inc,Finance,Eileen Harrell,Sara Gordon,mary23@nelson-howard.biz,https://www.linkedin.com/in/harringtonmatthew,2326,364.42,268.88
Gonzalez PLC,Education,Mr. Walter Rodriguez MD,Alexandra Reed,chelseawells@jones.com,https://www.linkedin.com/in/sophiaward,6638,283.7,201.38
"Massey, Cruz and Hunter",Administration,Cindy Patterson,Brandy Jackson,christopherwalker@diaz.biz,https://www.linkedin.com/in/michaelrichards,2542,305.63,245.73
Thompson-French,Information Technology,Jeremiah Kirk,Melissa Mitchell,trujillonatalie@madden.com,https://www.linkedin.com/in/castillodouglas,1704,75.27,69.04
"Martin, Allen and Roberts",Information Technology,Amanda Moody,Benjamin Collins,ywhite@ferguson-wright.net,https://www.linkedin.com/in/patriciareyes,9285,128.98,188.71
Harrison Ltd,Education,Amy Burke,William Murray,onoble@porter-jensen.net,https://www.linkedin.com/in/campbellsteven,4596,82.35,91.54
Thompson-Davis,Finance,Stacy Ferrell,Eileen Bean,joseph23@carrillo.com,https://www.linkedin.com/in/morristiffany,359,41.3,46.77
Smith Inc,Administration,Martin Hurst,Mrs. Christine Williams,johnstonryan@garcia.biz,https://www.linkedin.com/in/jenkinslaurie,8926,314.71,362.04
"Dawson, Thompson and Deleon",Human Resources,Angel Cunningham,Tammy Sims,yanglisa@hudson.com,https://www.linkedin.com/in/ealexander,2246,65.37,45.4
Caldwell LLC,Administration,Jerry Pena,Kathy Simmons,wgray@perkins.com,https://www.linkedin.com/in/zacharyalvarado,4193,164.71,190.68
Douglas-Meza,Automotive,Marissa Beck,David Thomas,wilsonmark@perry-murillo.org,https://www.linkedin.com/in/wtanner,8040,248.8,267.93
Davis Inc,Healthcare,Kyle James,Angela Williams,emilyflynn@wise.info,https://www.linkedin.com/in/kbrown,6727,408.86,316.07
Ruiz and Sons,Administration,Jeffrey Jones,Daniel Pearson,sarahmathews@norton.net,https://www.linkedin.com/in/desireethompson,1734,457.37,659.79
Porter-Barnes,Information Technology,Johnny Duarte,Brandy Chen,elizabeth82@snyder.info,https://www.linkedin.com/in/dominique39,997,104.4,77.76
Brown Group,Education,Thomas Holmes,Sarah Wood,josephmatthews@george.com,https://www.linkedin.com/in/fburke,1571,404.62,563.36
"Acosta, Sawyer and Wallace",Administration,Lauren Walker,Meagan Peterson,calderonlori@smith-long.com,https://www.linkedin.com/in/joy02,9895,54.16,44.42
"Jones, Johnston and Clark",Administration,Anthony Koch,Daniel Lewis,rjenkins@cabrera-jenkins.com,https://www.linkedin.com/in/marissa67,6005,390.45,505.99
Sullivan Inc,Automotive,Alexis Black,Mark Reyes,richardsonrobyn@gonzalez-koch.com,https://www.linkedin.com/in/miguel10,2387,261.66,163.67
"Ford, Villanueva and Rice",Manufacturing,Glenn Blair,William Bishop,jodythomas@simmons-newman.org,https://www.linkedin.com/in/burnettkimberly,5364,161.77,95.93
Stafford LLC,Artificial Intelligence,Donna Ballard,Philip Jacobson,sheilasalas@lee.com,https://www.linkedin.com/in/lopezjennifer,2368,324.83,166.37
Green Ltd,Information Technology,Robin Walter,Erin Turner DVM,dunlapfred@smith.info,https://www.linkedin.com/in/smithmelissa,49,147.07,168.25
Mullen-Evans,Healthcare,Mark Reed,Christopher Silva,iroberts@chavez.com,https://www.linkedin.com/in/nancygomez,4058,201.37,158.15
Wright-Avery,Artificial Intelligence,Jeffrey Perez,Derrick Taylor,caleb62@robinson.com,https://www.linkedin.com/in/ndavis,3196,13.05,16.63
Ramirez-Wise,Human Resources,Amanda Phillips,Ashley Roberts,fware@mack.com,https://www.linkedin.com/in/anthonygarrison,2018,286.95,411.03
Watson Inc,Healthcare,Teresa Dixon,Michelle Ford,phillipskellie@ford.com,https://www.linkedin.com/in/bmendoza,3741,464.37,500.81
Kelley LLC,Retail,Stacy Steele,Dominic Hart,hmedina@barnes-cunningham.com,https://www.linkedin.com/in/clarkjack,7577,337.78,292.8
Davis-Johnson,Artificial Intelligence,Sharon Mathis,Kenneth Bishop,yserrano@lloyd-howard.biz,https://www.linkedin.com/in/yvette35,7251,117.52,108.97
Estrada Ltd,Education,Ryan Taylor,Susan Rollins,nmarshall@peterson.com,https://www.linkedin.com/in/duanecox,4645,438.52,227.38
Ramos PLC,Human Resources,Alexandra Johnson,Cory Thomas,johnsondavid@cooper.info,https://www.linkedin.com/in/welchpamela,617,174.89,190.44
Terrell PLC,Retail,Joann Mccann,Linda Williams,edwardrodriguez@snow.com,https://www.linkedin.com/in/belinda13,2183,192.52,133.53
Hernandez LLC,Information Technology,Joseph Lee,Brian Morrow,mary97@smith-evans.com,https://www.linkedin.com/in/umiller,5265,88.07,61.39
Miller-Ferrell,Artificial Intelligence,Jason Shields,Daniel Sanders,dennis85@taylor.com,https://www.linkedin.com/in/craig56,8745,446.15,430.44
Smith LLC,Retail,James Jackson,Hannah Wilkinson,courtney13@golden.com,https://www.linkedin.com/in/tracy61,8668,101.81,120.93
Spencer Ltd,Administration,Rodney Powers,Edward Olson,doughertyheather@ford.org,https://www.linkedin.com/in/omcclain,8510,293.96,350.49
Villegas PLC,Retail,Allison Mcpherson,Pamela Mckenzie,gilbertjuan@carter.com,https://www.linkedin.com/in/amber89,3218,288.77,233.49
Andrade-Mckay,Human Resources,Thomas Nunez,Paul Stephens,thompsonbenjamin@lewis.org,https://www.linkedin.com/in/justinrivera,8546,305.11,333.12
Morales-Weaver,Human Resources,Margaret Horton,Eileen Jimenez,tylersmith@wood-rogers.com,https://www.linkedin.com/in/hooverandrew,3182,447.92,259.72
Hunt-Church,Human Resources,Andrew Reyes,Scott Townsend,ronnie44@becker.com,https://www.linkedin.com/in/mbaker,4123,142.56,157.67
"Coffey, Jacobs and Bird",Retail,William Wells,Tina Ellison,joancraig@sullivan.info,https://www.linkedin.com/in/dcarpenter,6054,166.81,146.47
Melton Group,Healthcare,Charles Frank,Steven Hale,thomas79@callahan.com,https://www.linkedin.com/in/wgonzalez,90,373.94,523.59
Thomas-Wilson,Automotive,Tamara Smith DVM,Samuel Patel,theresa83@bailey.org,https://www.linkedin.com/in/amanda73,72,122.75,158.83
Johnson-Guzman,Automotive,Jeffrey Morrow,John Roach,usnow@castro.com,https://www.linkedin.com/in/rachelmorrow,238,38.37,22.45
"Ellis, Mcdowell and Sutton",Administration,Jean Hall,Wayne Hall,racheldavis@martin-shaffer.com,https://www.linkedin.com/in/michaelramirez,6476,361.88,474.78
Hanson and Sons,Manufacturing,Rachel Gutierrez,Kathryn Bennett,elizabethjones@wilcox.com,https://www.linkedin.com/in/tammynelson,1258,407.85,476.64
"Patterson, Bennett and Ramsey",Retail,Michelle Fleming,James Walker,jamiesmith@barnes.com,https://www.linkedin.com/in/omitchell,9381,346.35,351.36
Cowan-Anderson,Human Resources,Benjamin Pena,Barbara Rose,matthewpayne@shaffer.com,https://www.linkedin.com/in/chriswade,5952,167.62,217.47
Vincent-Kane,Retail,John Webb,April Jenkins,walkerjose@sampson-peterson.com,https://www.linkedin.com/in/amber81,7138,201.73,208.88
Michael-Rose,Education,Michael Anderson,Ashley Clark,cchavez@jackson-travis.com,https://www.linkedin.com/in/collinsolivia,8139,230.65,206.0
Curtis PLC,Retail,Laura Johnson,Sarah Jackson,vstanton@benson.net,https://www.linkedin.com/in/jenniferjohnston,1293,34.28,47.06
Lucero Ltd,Human Resources,Jessica Rivera,Steven Simon,patricia38@wells.org,https://www.linkedin.com/in/leonardgregory,3940,201.3,169.36
Brooks-Franklin,Information Technology,Karen Owens,Jennifer King,kaufmanconnie@duran-smith.com,https://www.linkedin.com/in/tlamb,1457,428.36,461.01
"Neal, Thomas and Ellis",Retail,Edward Higgins,Alex English,scott58@perez.com,https://www.linkedin.com/in/diana61,559,283.71,418.48
Roberts-Luna,Retail,Mr. David Brown,Mary Johnson,mckenziericky@hays-martinez.com,https://www.linkedin.com/in/mariahuynh,3719,16.57,10.93
